yyyy/mmdd(or -ddd)/hh.h):2018/1207/11.0UT  geog Lat/Long/Alt= 76.0/   5.0/ 100.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2=  59943.6   NmF1=      0.0   NmE=   4053.1
Peak Heights/km:     hmF2=   220.63   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                              98.9
Dip (Magnetic Inclination)/degree                      81.24
Modip (Modified Dip)/degree                            70.87
Solar Sunspot Number (12-months running mean) Rz12      4.3           
Ionospheric-Effective Solar Index IG12                -11.3           
Solar radio flux F10.7 (daily)                         68.1           
Solar radio flux F10.7 (81-day average)                67.8           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 1500.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 185.0   42452  0.708   686   686  1195 232   0   0   0 398 368  -1   1.3  75
 186.0   43110  0.719   687   687  1208 243   0   0   0 394 361  -1   1.3  75
 187.0   43766  0.730   689   689  1221 255   0   0   0 389 354  -1   1.3  75
 188.0   44420  0.741   690   690  1234 268   0   0   0 383 347  -1   1.3  75
 189.0   45072  0.752   690   690  1247 280   0   0   0 378 340  -1   1.3  75
 190.0   45720  0.763   691   691  1260 293   0   0   0 372 333  -1   1.3  75
 191.0   46365  0.773   692   692  1273 306   0   0   0 366 326  -1   1.3  75
 192.0   47005  0.784   693   693  1286 320   0   0   0 359 319  -1   1.3  75
 193.0   47641  0.795   694   694  1299 334   0   0   0 353 311  -1   1.3  75
 194.0   48270  0.805   695   695  1311 348   0   0   0 346 304  -1   1.3  75
 195.0   48894  0.816   696   696  1324 362   0   0   0 339 297  -1   1.3  75
 196.0   49510  0.826   696   696  1337 376   0   0   0 332 290  -1   1.3  75
 197.0   50119  0.836   697   697  1349 390   0   0   0 325 283  -1   1.3  75
 198.0   50720  0.846   698   698  1362 405   0   0   0 317 276  -1   1.3  75
 199.0   51311  0.856   698   698  1374 419   0   0   0 310 269  -1   1.3  75
 200.0   51893  0.866   699   699  1386 432   0   0   0 302 263  -1   1.3  75
 201.0   52464  0.875   700   702  1398 445   0   0   0 295 258  -1   1.3  75
 202.0   53024  0.885   700   706  1410 456   0   0   0 288 254  -1   1.3  75
 203.0   53571  0.894   701   709  1421 463   0   0   0 281 253  -1   1.3  75
 204.0   54105  0.903   701   713  1433 467   1   0   0 276 254  -1   1.3  75
 205.0   54626  0.911   702   716  1444 467   1   0   0 272 257  -1   1.3  75
 206.0   55132  0.920   702   720  1454 464   1   0   0 270 262  -1   1.3  75
 207.0   55621  0.928   703   723  1465 461   1   0   0 267 268  -1   1.3  75
 208.0   56094  0.936   703   727  1475 458   1   0   0 265 273  -1   1.3  75
 209.0   56549  0.943   704   730  1485 457   1   0   0 261 277  -1   1.3  75
 210.0   56985  0.951   704   734  1494 458   1   0   0 257 279  -1   1.3  75
 211.0   57400  0.958   705   737  1503 462   1   0   0 252 280  -1   1.3  75
 212.0   57794  0.964   705   741  1512 468   1   0   0 246 279  -1   1.3  75
 213.0   58164  0.970   705   744  1521 477   2   0   0 239 278  -1   1.3  75
